sentence,full_audio_path,no_tone
"Ìyálé mi ti di ẹ̀rùjẹ̀jẹ̀ nínú ìlú, kò sí ẹni tó le múu",/content/drive/MyDrive/clips/common_voice_yo_37008103.mp3,"Iyale mi ti di erujeje ninu ilu, ko si eni to le muu"
Ọkọ àti ìyàwó ti gbọ̀nà oko lọ láti àárọ̀.,/content/drive/MyDrive/clips/common_voice_yo_37008105.mp3,Oko ati iyawo ti gbona oko lo lati aaro.
Ilé ẹjọ́ gíga wọ́gilé ìyọnípò Àdìsá gẹ́gẹ́ bíi alága ẹgbẹ́ rẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_37008107.mp3,Ile ejo giga wogile iyonipo Adisa gege bii alaga egbe re.
Ẹnìkan pe àwọn wí pé ilé kan ń jó ní agbègbè náà.,/content/drive/MyDrive/clips/common_voice_yo_37375997.mp3,Enikan pe awon wi pe ile kan n jo ni agbegbe naa.
"Ọwá Obòkun ni orúkọ ọba ìlú Iléshà, Ajerò ni ti Ìjerò",/content/drive/MyDrive/clips/common_voice_yo_37375998.mp3,"Owa Obokun ni oruko oba ilu Ilesha, Ajero ni ti Ijero"
Túndé kó sí gbaga ọlọ́pàá nítórí ikú ọmọ ọdún mẹ́wàá kan.,/content/drive/MyDrive/clips/common_voice_yo_37375999.mp3,Tunde ko si gbaga olopaa nitori iku omo odun mewaa kan.
Ó tẹ̀síwájú pé kò sí ẹnikẹ́ni tó farapa níbi ìṣẹ̀lẹ̀ náà.,/content/drive/MyDrive/clips/common_voice_yo_36630542.mp3,O tesiwaju pe ko si enikeni to farapa nibi isele naa.
Lékan ní òun kò lérò pé òun le mókè nínú iṣẹ́ orin.,/content/drive/MyDrive/clips/common_voice_yo_36630543.mp3,Lekan ni oun ko lero pe oun le moke ninu ise orin.
Pásítọ̀ na àwọn ọmọ ìjọ láti mọ̀ bí wọn ṣe gbóná fún Ọ́lọ́run tó.,/content/drive/MyDrive/clips/common_voice_yo_36630544.mp3,Pasito na awon omo ijo lati mo bi won se gbona fun Olorun to.
Gómìnà Makinde bá mọ̀lẹ́bí ọkùnrin náà kẹ́dùn lọ́jọ́ náà,/content/drive/MyDrive/clips/common_voice_yo_37324634.mp3,Gomina Makinde ba molebi okunrin naa kedun lojo naa
Ìjọba àpapọ̀ ń sọ̀rọ̀ tòótọ́ fún wa.,/content/drive/MyDrive/clips/common_voice_yo_37324649.mp3,Ijoba apapo n soro tooto fun wa.
Ìwòsàn ló bá Kẹ́mi dáwọ́ ìtọ̀ dúró.,/content/drive/MyDrive/clips/common_voice_yo_37324651.mp3,Iwosan lo ba Kemi dawo ito duro.
Túńdé pe gbogbo ẹgbẹ́ jọ láti sọ fún wọn pé kí wọ́n gbaradì.,/content/drive/MyDrive/clips/common_voice_yo_37324658.mp3,Tunde pe gbogbo egbe jo lati so fun won pe ki won gbaradi.
Bí àwọn ará ìlú ṣe fara mọ́ ṣíse àbẹ́rẹ́ àjẹsára ni mo ta kò,/content/drive/MyDrive/clips/common_voice_yo_37386474.mp3,Bi awon ara ilu se fara mo sise abere ajesara ni mo ta ko
Ẹ̀bà gígan ni Bísí jẹ sùn lánàá.,/content/drive/MyDrive/clips/common_voice_yo_37386475.mp3,Eba gigan ni Bisi je sun lanaa.
Awọn akọ́mọlédè lórílẹ̀ èdè yìí ti rọ àwọn ọmọ Yorùbá lóyè,/content/drive/MyDrive/clips/common_voice_yo_37386484.mp3,Awon akomolede lorile ede yii ti ro awon omo Yoruba loye
Ẹgbẹ́ fún ìdàgbàsókè ọrọ̀ ajé ti fún àwọn obìnrin lówó níbàdàn.,/content/drive/MyDrive/clips/common_voice_yo_37386488.mp3,Egbe fun idagbasoke oro aje ti fun awon obinrin lowo nibadan.
"Nínú Ọlọ́pàá àti ààrùn jẹjẹrẹ, èwo ló yẹ ka bẹ̀rù?",/content/drive/MyDrive/clips/common_voice_yo_37007082.mp3,"Ninu Olopaa ati aarun jejere, ewo lo ye ka beru?"
Àwọn àgbàgbà ọlọ́pàá ti ṣàánú ọmọbìnrin tí wọn gbámú,/content/drive/MyDrive/clips/common_voice_yo_37007083.mp3,Awon agbagba olopaa ti saanu omobinrin ti won gbamu
Àwọn aṣòfin ilẹ̀ Nàìjíríà ṣọ̀rọ̀ ìwúrí nípa Ajímọ̀bí.,/content/drive/MyDrive/clips/common_voice_yo_37007084.mp3,Awon asofin ile Naijiria soro iwuri nipa Ajimobi.
"Olórí gbọ́dọ̀ jẹ́ ẹni tó lóòótọ́, tí ò ní máa ṣọ̀tún-ṣòsì.",/content/drive/MyDrive/clips/common_voice_yo_37007085.mp3,"Olori gbodo je eni to loooto, ti o ni maa sotun-sosi."
Olúọmọ oṣòdì má gbé jàgídíjàgan wá.,/content/drive/MyDrive/clips/common_voice_yo_36525052.mp3,Oluomo osodi ma gbe jagidijagan wa.
"Ẹ tẹ ọkùnrin tó bá fipá bá obìnrin lòpọ̀ ní ọ̀dá, ìwà ìkà ni.",/content/drive/MyDrive/clips/common_voice_yo_36525054.mp3,"E te okunrin to ba fipa ba obinrin lopo ni oda, iwa ika ni."
Ìdí tí Ìyábọ̀ Ọbásanjọ́ fi ṣe pàtàkì ní ìpínlẹ̀ Ògùn nìyí o,/content/drive/MyDrive/clips/common_voice_yo_36525056.mp3,Idi ti Iyabo Obasanjo fi se pataki ni ipinle Ogun niyi o
Àjẹ́ ni àwọn ìyá Àjànàkú àti Àlàbí.,/content/drive/MyDrive/clips/common_voice_yo_36525057.mp3,Aje ni awon iya Ajanaku ati Alabi.
Mo fẹ́ bá àwọn ọmọ Ajílẹ́yẹ ṣeré fún bí ọdún mẹ́ta síi,/content/drive/MyDrive/clips/common_voice_yo_36667505.mp3,Mo fe ba awon omo Ajileye sere fun bi odun meta sii
Ikú burúkú ló pa ìyàwó Rẹ̀mí ní ìjẹrin.,/content/drive/MyDrive/clips/common_voice_yo_36667506.mp3,Iku buruku lo pa iyawo Remi ni ijerin.
"Ẹni tí ò bá lérò, tí ò létò, o lè jẹ́ olórí ti wa.",/content/drive/MyDrive/clips/common_voice_yo_36667507.mp3,"Eni ti o ba lero, ti o leto, o le je olori ti wa."
Olúmidé ti rọ àwọn ènìyàn pé kí wọn má fojú òṣèlú wo àbẹ̀wò òun.,/content/drive/MyDrive/clips/common_voice_yo_36667508.mp3,Olumide ti ro awon eniyan pe ki won ma foju oselu wo abewo oun.
Ǹkan mẹ́ta ló fàá tí jàndùkú fi ń yìnbọn pa àwọn ọlọ́pàá,/content/drive/MyDrive/clips/common_voice_yo_36530198.mp3,Nkan meta lo faa ti janduku fi n yinbon pa awon olopaa
Àwọn aṣewádìí náà gbọ́dọ̀ ri pé wọ́n ṣe ìwádìí wọn fínnífínní,/content/drive/MyDrive/clips/common_voice_yo_36530199.mp3,Awon asewadii naa gbodo ri pe won se iwadii won finnifinni
Wọ́n ní àwọn méjìlá ní wọ́n bódòlọ.,/content/drive/MyDrive/clips/common_voice_yo_36530200.mp3,Won ni awon mejila ni won bodolo.
Adébimpé gba omijé lójú Adédiméjì.,/content/drive/MyDrive/clips/common_voice_yo_36530201.mp3,Adebimpe gba omije loju Adedimeji.
Àwọn jàndùkú jí Rẹ̀mí gbé.,/content/drive/MyDrive/clips/common_voice_yo_36525842.mp3,Awon janduku ji Remi gbe.
Ọwọ́ ọlọ́pàá tẹ arákùrin ajínigbé kan ní ìlú Òṣogbo.,/content/drive/MyDrive/clips/common_voice_yo_36525843.mp3,Owo olopaa te arakurin ajinigbe kan ni ilu Osogbo.
Bùhárí ń bèèrè fún àforíjìn gbèsè tí a jẹ lọ́dọ̀ àjọ àgbáyé,/content/drive/MyDrive/clips/common_voice_yo_36525845.mp3,Buhari n beere fun aforijin gbese ti a je lodo ajo agbaye
Ìpinu mi fọ́dún yìí ni láti yí padà si obìnrin pátápátá.,/content/drive/MyDrive/clips/common_voice_yo_36525846.mp3,Ipinu mi fodun yii ni lati yi pada si obinrin patapata.
Àwa la gbé ìgbá orókè nínú ìdíje eré bọ́ọ̀lù ní Ìbàdàn,/content/drive/MyDrive/clips/common_voice_yo_36525938.mp3,Awa la gbe igba oroke ninu idije ere boolu ni Ibadan
Bílíònú mẹ́fà ni ìjọba ìpínlẹ̀ Ekiti yòó ná lórí Àmọ̀tẹ́kùn.,/content/drive/MyDrive/clips/common_voice_yo_36525940.mp3,Bilionu mefa ni ijoba ipinle Ekiti yoo na lori Amotekun.
Gómìnà Ọbásànyà yọ ọ̀gá ikọ̀ ọlọ́pàá nípò.,/content/drive/MyDrive/clips/common_voice_yo_36525941.mp3,Gomina Obasanya yo oga iko olopaa nipo.
Adéwálé fèsì padà pé àwọn àgbààgbà tó ní owó lọ́wọ́ wà níbẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36525942.mp3,Adewale fesi pada pe awon agbaagba to ni owo lowo wa nibe.
Ṣé lóòtọ́ ni pé ilé ẹjọ́ sọ pé kí Àrẹ̀mú lọ sí ẹ̀wọ̀n.,/content/drive/MyDrive/clips/common_voice_yo_37378928.mp3,Se looto ni pe ile ejo so pe ki Aremu lo si ewon.
Wo ọ̀nà láti jẹ ànfàní ìforúkọsílẹ ọ̀fẹ́ tí ìjọba gbékalẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_37378930.mp3,Wo ona lati je anfani iforukosile ofe ti ijoba gbekale.
Sanwó Olú ti gba àwòrán apanilẹ́rín kan nílùú Èkó.,/content/drive/MyDrive/clips/common_voice_yo_37378931.mp3,Sanwo Olu ti gba aworan apanilerin kan niluu Eko.
Ọwọ́ àwọn agbófinró tẹ afurasú oníjìbìtì tó lu Kẹ́mi ní jìbìtì owó.,/content/drive/MyDrive/clips/common_voice_yo_37378935.mp3,Owo awon agbofinro te afurasu onijibiti to lu Kemi ni jibiti owo.
"Láàárín ìdílé ẹlẹ́ni márùn-ún yìí, ọmọ kan ṣoṣo ló léè sọ̀rọ̀.",/content/drive/MyDrive/clips/common_voice_yo_37357986.mp3,"Laaarin idile eleni marun-un yii, omo kan soso lo lee soro."
"Irọ́ ni wọn ń pa, mi ò sálọ sí sílẹ̀ òkèrè nítorí ìwọ́de.",/content/drive/MyDrive/clips/common_voice_yo_37357987.mp3,"Iro ni won n pa, mi o salo si sile okere nitori iwode."
Òtútù àsìkò yìí pọ̀ lápọ̀ jù.,/content/drive/MyDrive/clips/common_voice_yo_37357988.mp3,Otutu asiko yii po lapo ju.
Esì àyẹwò ọmọ ati ìyáwọ ọmọ Atiku ti jáde.,/content/drive/MyDrive/clips/common_voice_yo_37357991.mp3,Esi ayewo omo ati iyawo omo Atiku ti jade.
"Wo ìkílọ̀ Ìjọba àpapọ̀, Ọlọ̀pàá àti Gómìnà Sanwó-olú.",/content/drive/MyDrive/clips/common_voice_yo_36881218.mp3,"Wo ikilo Ijoba apapo, Olopaa ati Gomina Sanwo-olu."
Ààrẹ àkọ́kọ́ ní Ọ̀yọ́ jáde láyé.,/content/drive/MyDrive/clips/common_voice_yo_36881219.mp3,Aare akoko ni Oyo jade laye.
Mo ní kí wọ́n yé ṣe àwáwí fún bàbá Ìjẹ̀shà fún oun tó ṣẹ,/content/drive/MyDrive/clips/common_voice_yo_36881220.mp3,Mo ni ki won ye se awawi fun baba Ijesha fun oun to se
Àwọn èèyàn pàdánù ẹ̀mí wọn nínú ìjàmbá ọkọ ní Èkó.,/content/drive/MyDrive/clips/common_voice_yo_36881221.mp3,Awon eeyan padanu emi won ninu ijamba oko ni Eko.
Orilẹ ede Nàìjíríà ni lati ni ilọsiwaju ninu iṣẹ sinimá.,/content/drive/MyDrive/clips/common_voice_yo_36545509.mp3,Orile ede Naijiria ni lati ni ilosiwaju ninu ise sinima.
Ẹni tó fí ìbínú lu Ábúdù ọlọ́kadà pa ní Abẹ́òkuta ti sálọ.,/content/drive/MyDrive/clips/common_voice_yo_36545510.mp3,Eni to fi ibinu lu Abudu olokada pa ni Abeokuta ti salo.
Ayẹyẹ elégún yẹn yóò párí ní Ọjọ́ Ajé tó ń bọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36545512.mp3,Ayeye elegun yen yoo pari ni Ojo Aje to n bo.
Odùduwà sọ fún Oyètọ́lá nípa ọ̀gá ilé ìwé mẹ́ta tó dá dúró,/content/drive/MyDrive/clips/common_voice_yo_36545513.mp3,Oduduwa so fun Oyetola nipa oga ile iwe meta to da duro
"Ojú ẹni máa là, á rí tó lórílẹ̀ èdè Nàìjíríà.",/content/drive/MyDrive/clips/common_voice_yo_37011479.mp3,"Oju eni maa la, a ri to lorile ede Naijiria."
Wọ́n ti kéde ètò ìsìnkú Ajímájàṣán àti ọjọ́ tí wọn yóò sin-ín,/content/drive/MyDrive/clips/common_voice_yo_37011481.mp3,Won ti kede eto isinku Ajimajasan ati ojo ti won yoo sin-in
Adébáyò wá kábàámọ̀ pé ọ̀pọ̀ nǹkan ni wọ́n ń tọwọ́ òṣèlú bọ.,/content/drive/MyDrive/clips/common_voice_yo_37011482.mp3,Adebayo wa kabaamo pe opo nnkan ni won n towo oselu bo.
Ọdún kẹ́ta rẹ̀é ti ọkọ àti ìyàwó ò tí ì bímọ.,/content/drive/MyDrive/clips/common_voice_yo_37011483.mp3,Odun keta ree ti oko ati iyawo o ti i bimo.
Àwọn ológun ti gbàjọba ní ìlú kan tó wà lẹ́gbẹ̀ẹ́ Odò Ọya,/content/drive/MyDrive/clips/common_voice_yo_36883852.mp3,Awon ologun ti gbajoba ni ilu kan to wa legbee Odo Oya
Gómìnà Oyètọ́lá ti pè fún alàáfíà láàrin àwọn ọmọ ẹgbẹ́ rẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36883853.mp3,Gomina Oyetola ti pe fun alaafia laarin awon omo egbe re
Amọ̀fin tó ń ṣáájú ikọ̀ agbẹjọ́rò fún ẹgbẹ́ náà ní ìlànà.,/content/drive/MyDrive/clips/common_voice_yo_36883854.mp3,Amofin to n saaju iko agbejoro fun egbe naa ni ilana.
Iléẹjọ́ ṣe ìdájọ́ iléìfowópamọ́ lori ìwà jìbìtì.,/content/drive/MyDrive/clips/common_voice_yo_36883855.mp3,Ileejo se idajo ileifowopamo lori iwa jibiti.
Ọlá yóò gúnlẹ̀ sí Ọ̀yọ́ ní ọ̀sẹ̀ tó ń bọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36883856.mp3,Ola yoo gunle si Oyo ni ose to n bo.
Èmi àti Túndé ti kọ́ ẹ̀kọ́ síi nípa ààlọ́ Yorùbá,/content/drive/MyDrive/clips/common_voice_yo_36667499.mp3,Emi ati Tunde ti ko eko sii nipa aalo Yoruba
Kí lẹ̀ ń bú ààrẹ fún nítorí Ọlọ́run.,/content/drive/MyDrive/clips/common_voice_yo_36667500.mp3,Ki le n bu aare fun nitori Olorun.
Ènìyàn mẹjọ mìíràn tún ti ní ààrùn jẹjẹrẹ ní Nàìjíríà.,/content/drive/MyDrive/clips/common_voice_yo_36667501.mp3,Eniyan mejo miiran tun ti ni aarun jejere ni Naijiria.
Ọkùnrin nìkan náà ni ó lè wo orò ní ilẹ̀ Yorùbá.,/content/drive/MyDrive/clips/common_voice_yo_36667502.mp3,Okunrin nikan naa ni o le wo oro ni ile Yoruba.
Rẹ̀mi ti kú nípa ìkọlù tó wáyé.,/content/drive/MyDrive/clips/common_voice_yo_36667503.mp3,Remi ti ku nipa ikolu to waye.
Àwọn olórí Yorùbá ti ní kò ní sí ètò ìdìbò lọ́dún tó ń bọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36521453.mp3,Awon olori Yoruba ti ni ko ni si eto idibo lodun to n bo.
Ìtàn málegbàgbé ni àwọn ìtàn akọni bíi Mọ́remí ní àwùjọ Yorùbá.,/content/drive/MyDrive/clips/common_voice_yo_36521454.mp3,Itan malegbagbe ni awon itan akoni bii Moremi ni awujo Yoruba.
Adébóyè ní ọ̀pọ̀ nǹkan ńlá ni yóò ṣẹlẹ̀ lẹ́yìn ìgbélé ààrùn.,/content/drive/MyDrive/clips/common_voice_yo_36521455.mp3,Adeboye ni opo nnkan nla ni yoo sele leyin igbele aarun.
Sanwó-Olú ní ìbùdó ìgbé ọkọ̀ sí yóò wà yíká Èkó.,/content/drive/MyDrive/clips/common_voice_yo_36521456.mp3,Sanwo-Olu ni ibudo igbe oko si yoo wa yika Eko.
̄Mo máa yà ilé ìwòsàn láti gba èsì àyẹ̀wò tí mo ṣe.,/content/drive/MyDrive/clips/common_voice_yo_36521457.mp3,Mo maa ya ile iwosan lati gba esi ayewo ti mo se.
Àwọn dókítà ti ń ṣe ìdánilẹ́kọ̀ọ́ ìmọ̀tótó fún àwọn ọ̀dọ́.,/content/drive/MyDrive/clips/common_voice_yo_37022804.mp3,Awon dokita ti n se idanilekoo imototo fun awon odo.
Àwọn òyìnbó aláwọ̀ funfun ṣì tún ń bọ̀ wá kó wa lẹ́rú lẹ́ẹ̀kan si.,/content/drive/MyDrive/clips/common_voice_yo_37022805.mp3,Awon oyinbo alawo funfun si tun n bo wa ko wa leru leekan si.
Ẹ wo adúrú nǹkan tí wọ́n ma ń tò pọ̀ láti sín àwọn òṣèré.,/content/drive/MyDrive/clips/common_voice_yo_37022806.mp3,E wo aduru nnkan ti won ma n to po lati sin awon osere.
Ọwọ́ àwọn ọ̀dọ́ tẹ awọn ajínigbé kan ní Ìbàdàn.,/content/drive/MyDrive/clips/common_voice_yo_37022807.mp3,Owo awon odo te awon ajinigbe kan ni Ibadan.
Péjú ra àṣọ olódòdó kan ti ó rẹwà.,/content/drive/MyDrive/clips/common_voice_yo_37022808.mp3,Peju ra aso olododo kan ti o rewa.
Ilé ẹ̀kọ́ fásitì Ìlọrin tí jáwé olúborí nínú ìfigagbága àná,/content/drive/MyDrive/clips/common_voice_yo_36980885.mp3,Ile eko fasiti Ilorin ti jawe olubori ninu ifigagbaga ana
"Àwọn agbébọn pa eèyàn púpọ̀ ní ìú Ọ̀ṣun, bẹ́ẹ̀ ní Ọ̀yọ́ náà.",/content/drive/MyDrive/clips/common_voice_yo_36980886.mp3,"Awon agbebon pa eeyan pupo ni iu Osun, bee ni Oyo naa."
Bàbá bàbá mi ni Lèmọ́mù àkọ́kọ́ ní Ìbàdàn.,/content/drive/MyDrive/clips/common_voice_yo_36980887.mp3,Baba baba mi ni Lemomu akoko ni Ibadan.
Obìnrin kan gún ọ̀rẹ́kùnrin rẹ̀ pa nítorí kò fún òun lóyún.,/content/drive/MyDrive/clips/common_voice_yo_36980888.mp3,Obinrin kan gun orekunrin re pa nitori ko fun oun loyun.
Wọ́n ti ṣilẹkùn ilé ìwé padà lẹ́yìn tí wọ́n bọ́ nínú ààrùn náà.,/content/drive/MyDrive/clips/common_voice_yo_36980891.mp3,Won ti silekun ile iwe pada leyin ti won bo ninu aarun naa.
Kẹ́mi Dáìró ti tún àṣírí àwọn ṣẹ́nítọ̀ orílẹ̀ èdè Nàìjíríà.,/content/drive/MyDrive/clips/common_voice_yo_36533862.mp3,Kemi Dairo ti tun asiri awon senito orile ede Naijiria.
Bọ̀dé ní òun ti di atúnbí àti ajíhìnrere.,/content/drive/MyDrive/clips/common_voice_yo_36533863.mp3,Bode ni oun ti di atunbi ati ajihinrere.
Adérẹ̀mí Ọbásanmí padà sílé aṣòfin àgbà fún sàá míràn.,/content/drive/MyDrive/clips/common_voice_yo_36533864.mp3,Aderemi Obasanmi pada sile asofin agba fun saa miran.
"Àṣẹ̀yìnwá àṣẹ̀yìnbọ̀, gbogbo oun tí a bèèrè ni a ti rí gbà.",/content/drive/MyDrive/clips/common_voice_yo_36533865.mp3,"Aseyinwa aseyinbo, gbogbo oun ti a beere ni a ti ri gba."
Wọ́n ní kọ́ mú ẹnu kúrò nínú ọ̀rọ̀ nàá.,/content/drive/MyDrive/clips/common_voice_yo_36533866.mp3,Won ni ko mu enu kuro ninu oro naa.
Kò ju nǹkan bíi wákàtí mẹ̀ta tí a kúrò níbẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36524963.mp3,Ko ju nnkan bii wakati meta ti a kuro nibe.
Ẹgbẹ́ ọmọ Odùduwà bẹ̀bẹ̀ lọ́wọ́ Ọlọ́run pẹ̀lú ààwẹ̀ àti àdúrà,/content/drive/MyDrive/clips/common_voice_yo_36524964.mp3,Egbe omo Oduduwa bebe lowo Olorun pelu aawe ati adura
Àwọn agbófinró rí òkú bàbá arúgbó kan ní ẹ̀bá ọ̀nà.,/content/drive/MyDrive/clips/common_voice_yo_36524965.mp3,Awon agbofinro ri oku baba arugbo kan ni eba ona.
Bùhárí sọ pé òun gbé àwọn ìgbésẹ̀ náà nítorí ìjàm̀bá ọkọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36524966.mp3,Buhari so pe oun gbe awon igbese naa nitori ijamba oko.
Ìjọba Àkúrẹ́ àti Oǹdó ti pinnu láti ní àjọṣepọ̀,/content/drive/MyDrive/clips/common_voice_yo_36524967.mp3,Ijoba Akure ati Ondo ti pinnu lati ni ajosepo
Gómìnà Mákindé ké sáwọn lọ́balọ́ba lágbègbè Akínyẹlẹ́.,/content/drive/MyDrive/clips/common_voice_yo_36536721.mp3,Gomina Makinde ke sawon lobaloba lagbegbe Akinyele.
Adéwálé Ẹlẹ́mu ti dáná sun gbogbo àgbàdo oko ẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36536722.mp3,Adewale Elemu ti dana sun gbogbo agbado oko e
Yínká àti ẹbí àwọn akọ̀wé ìròyìn ti kópa nínú ètò ìsọmọlórúkọ.,/content/drive/MyDrive/clips/common_voice_yo_36536723.mp3,Yinka ati ebi awon akowe iroyin ti kopa ninu eto isomoloruko.
Ilé aṣòfin ìpínlẹ̀ Oyo jáwée lọ sinmi nílé fún alága ìgbìmọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36536724.mp3,Ile asofin ipinle Oyo jawee lo sinmi nile fun alaga igbimo.
Kíní ìtumọ̀ Sọ̀rọ̀ Sókè tí àwọn afẹ̀họ́núhàn ń lò káàkiri.,/content/drive/MyDrive/clips/common_voice_yo_36536725.mp3,Kini itumo Soro Soke ti awon afehonuhan n lo kaakiri.
Ọdùn mẹ́fà sẹ́yìn ni ogun kọ́kọ́ bẹ́ sílẹ̀ ní agbègbè náà.,/content/drive/MyDrive/clips/common_voice_yo_36717369.mp3,Odun mefa seyin ni ogun koko be sile ni agbegbe naa.
Ọ̀rọ̀ Sàràkí lu ìkànnì pa.,/content/drive/MyDrive/clips/common_voice_yo_36717370.mp3,Oro Saraki lu ikanni pa.
Mo gbóṣùbà fún àwọn tó bá mi sọ̀rọ̀ nípa àwọn mẹ̀kúnnù,/content/drive/MyDrive/clips/common_voice_yo_36717371.mp3,Mo gbosuba fun awon to ba mi soro nipa awon mekunnu
